ticker,sector,fecha_entrada,precio_entrada,stop,objetivo,cantidad,fecha_salida,precio_salida,motivo_salida,dias,pnl_usd,r_multiple
NFLX,Tecnología,2025-03-18,94.0,86.8817,108.2366,15.6186,2025-04-04,86.8817,STOP,13,-115.42,-1.04
JPM,Financieras,2025-03-20,229.5923,216.7899,255.1971,8.7717,2025-04-04,210.2554,STOP (gap),11,-175.41,-1.56
WMT,Consumo,2025-03-17,83.7893,78.8109,93.746,22.5358,2025-04-07,78.8109,STOP,15,-117.69,-1.05
JNJ,Salud,2025-04-03,152.81,146.7547,164.9206,18.0153,2025-04-07,145.6195,STOP (gap),2,-137.6,-1.26
MELI,Latam / Brasil,2025-04-03,1870.8101,1711.6902,2189.0497,0.692,2025-04-23,2189.0497,OBJETIVO,13,216.01,1.96
NFLX,Tecnología,2025-04-08,91.244,83.411,106.91,13.3933,2025-04-24,106.91,OBJETIVO,11,205.84,1.96
WMT,Consumo,2025-04-08,84.73,79.3533,95.4833,19.5121,2025-04-30,95.4833,OBJETIVO,15,204.55,1.95
BRK-B,Financieras,2025-04-09,490.0,459.4856,551.0287,3.5099,2025-05-01,530.23,TIEMPO,15,135.83,1.27
BABA,China,2025-04-10,104.1276,90.037,132.3088,7.6311,2025-05-02,122.5443,TIEMPO,15,137.95,1.28
CSCO,Tecnología,2025-04-24,53.8543,50.3792,60.8045,32.7199,2025-05-15,61.4212,OBJETIVO (gap),15,241.93,2.13
KO,Consumo,2025-05-15,66.9027,64.3678,71.9725,43.5932,2025-06-06,68.4865,TIEMPO,15,60.19,0.54
MCD,Consumo,2025-06-12,292.4451,282.753,311.8294,10.0429,2025-06-18,282.753,STOP,4,-106.0,-1.09
BABA,China,2025-06-03,112.4297,104.9359,127.4174,15.6432,2025-06-25,113.5076,TIEMPO,15,11.56,0.1
BRK-B,Financieras,2025-06-09,493.7,477.8829,525.3342,5.9837,2025-07-01,489.61,TIEMPO,15,-33.3,-0.35
BRK-B,Financieras,2025-07-01,485.78,472.8589,511.6222,6.0327,2025-07-11,472.8589,STOP,7,-86.62,-1.11
WMT,Consumo,2025-06-23,94.8975,91.471,101.7505,30.4852,2025-07-15,94.3731,TIEMPO,15,-24.64,-0.24
BABA,China,2025-07-09,104.5201,98.8464,115.8674,16.845,2025-07-15,115.8674,OBJETIVO,4,185.58,1.94
V,Financieras,2025-06-24,348.1184,332.2298,379.8957,7.3796,2025-07-16,346.5141,TIEMPO,15,-19.53,-0.17
KO,Consumo,2025-06-24,67.6104,65.6966,71.4378,21.1199,2025-07-16,66.9627,TIEMPO,15,-17.94,-0.44
IBM,Tecnología,2025-07-29,255.8731,243.8737,279.8719,7.8693,2025-08-01,243.3941,STOP (gap),3,-104.09,-1.1
BABA,China,2025-07-15,113.6116,108.1091,124.6167,21.1212,2025-08-05,115.9749,TIEMPO,15,42.64,0.37
WMT,Consumo,2025-07-15,94.5809,91.2746,101.1936,30.7198,2025-08-05,98.2514,TIEMPO,15,103.87,1.02
V,Financieras,2025-08-05,338.8392,326.8746,362.7683,8.6172,2025-08-07,326.8746,STOP,2,-111.71,-1.08
MELI,Latam / Brasil,2025-07-21,2402.8101,2267.9386,2672.553,0.871,2025-08-11,2292.04,TIEMPO,15,-102.61,-0.87
NFLX,Tecnología,2025-07-25,117.842,111.5618,130.4025,18.7229,2025-08-15,123.895,TIEMPO,15,106.54,0.91
UBER,Tecnología,2025-08-01,86.505,81.5505,96.414,22.0752,2025-08-19,96.414,OBJETIVO,12,212.69,1.94
COIN,Financieras,2025-08-05,307.11,264.4151,392.4997,2.7356,2025-08-26,308.48,TIEMPO,15,1.22,0.01
V,Financieras,2025-08-07,338.1261,326.0531,362.2721,8.6107,2025-08-28,347.0842,TIEMPO,15,68.29,0.66
MELI,Latam / Brasil,2025-08-11,2353.0,2217.2304,2624.5392,0.8546,2025-09-02,2379.76,TIEMPO,15,16.8,0.14
ORCL,Tecnología,2025-09-08,237.1866,222.4058,266.7483,8.1676,2025-09-10,315.593,OBJETIVO (gap),2,633.62,5.25
WMT,Consumo,2025-08-29,95.2976,92.0327,101.8274,31.4806,2025-09-11,101.8274,OBJETIVO,8,196.25,1.91
PBR,Latam / Brasil,2025-08-26,11.6453,11.1002,12.7356,218.4782,2025-09-17,12.3834,TIEMPO,15,153.37,1.29
NVDA,Tecnología,2025-09-11,179.2505,169.0015,199.7487,12.5904,2025-09-17,169.0015,STOP,4,-135.62,-1.05
KO,Consumo,2025-09-10,65.532,63.6822,69.2316,49.1068,2025-09-29,63.6822,STOP,13,-100.36,-1.1
AMD,Tecnología,2025-09-09,151.99,139.2061,177.5577,9.4664,2025-09-30,161.79,TIEMPO,15,88.32,0.73
COIN,Financieras,2025-09-09,303.77,274.8121,361.6857,4.1791,2025-09-30,337.49,TIEMPO,15,136.9,1.13
NKE,Consumo,2025-09-29,67.543,64.3068,74.0153,39.5211,2025-10-02,74.0153,OBJETIVO,3,247.4,1.93
MCD,Consumo,2025-09-17,297.2544,288.8758,314.0115,10.7942,2025-10-06,288.8758,STOP,13,-99.93,-1.1
NKE,Consumo,2025-10-02,72.606,69.005,79.8081,36.1671,2025-10-06,69.005,STOP,2,-137.92,-1.06
HD,Consumo,2025-10-06,383.6359,371.6218,407.6641,8.337,2025-10-09,371.6218,STOP,3,-109.61,-1.09
BA,Energía / Industria,2025-09-19,217.73,207.664,237.862,12.7645,2025-10-10,210.73,TIEMPO,15,-97.56,-0.76
MELI,Latam / Brasil,2025-10-03,2241.01,2073.2062,2576.6175,0.6557,2025-10-15,2073.2062,STOP,8,-114.27,-1.04
BAC,Financieras,2025-10-14,47.8304,46.0513,51.3888,55.4569,2025-10-15,51.3888,OBJETIVO,1,189.08,1.92
AMZN,Tecnología,2025-09-30,222.03,212.5181,241.0537,13.4485,2025-10-17,212.5181,STOP,13,-136.69,-1.07
META,Tecnología,2025-10-07,715.2936,681.1815,783.518,3.3535,2025-10-28,748.8997,TIEMPO,15,105.33,0.92
AMZN,Tecnología,2025-10-21,218.43,208.0186,239.2529,12.2988,2025-10-31,250.1,OBJETIVO (gap),8,380.86,2.97
HD,Consumo,2025-10-14,368.4363,356.5302,392.2486,8.4633,2025-11-04,372.5304,TIEMPO,15,25.24,0.25
DIS,Consumo,2025-10-15,109.8789,105.7652,118.1064,28.8864,2025-11-05,109.7705,TIEMPO,15,-12.65,-0.11
CVX,Energía / Industria,2025-10-15,147.1034,141.7203,157.8698,6.9519,2025-11-05,146.8725,TIEMPO,15,-4.67,-0.12
HD,Consumo,2025-11-05,372.2484,359.1916,398.3621,8.7257,2025-11-06,359.1916,STOP,1,-123.5,-1.08
MRK,Salud,2025-11-05,81.6329,77.5996,89.6996,32.2127,2025-11-12,89.6996,OBJETIVO,5,251.57,1.94
COIN,Financieras,2025-11-06,316.5,277.7711,393.9579,3.3342,2025-11-14,269.52,STOP (gap),6,-159.57,-1.24
BA,Energía / Industria,2025-11-03,202.04,191.304,223.5119,12.1824,2025-11-17,191.304,STOP,10,-137.98,-1.05
ORCL,Tecnología,2025-11-17,216.1254,192.3869,263.6022,5.4493,2025-11-21,192.3869,STOP,4,-132.7,-1.03
COIN,Financieras,2025-11-17,274.92,235.6641,353.4318,3.2952,2025-11-21,235.6641,STOP,4,-131.88,-1.02
WMT,Consumo,2025-11-04,101.2773,97.5231,108.7856,32.184,2025-11-25,106.1066,TIEMPO,15,145.42,1.2
MCD,Consumo,2025-11-06,296.6304,287.413,315.0653,10.883,2025-11-28,304.0009,TIEMPO,15,70.41,0.7
INTC,Tecnología,2025-11-24,34.97,31.321,42.2679,34.9144,2025-12-02,42.2679,OBJETIVO,5,250.76,1.97
BABA,China,2025-11-14,155.5118,143.9409,178.6536,11.2178,2025-12-08,156.691,TIEMPO,15,7.97,0.06
UBER,Tecnología,2025-12-03,89.845,84.3016,100.9317,23.8929,2025-12-10,84.3016,STOP,5,-138.69,-1.05
AMZN,Tecnología,2025-11-24,222.56,208.2041,251.2718,8.8745,2025-12-16,222.56,TIEMPO,15,-5.93,-0.05
CVX,Energía / Industria,2025-11-28,145.3998,140.1717,155.8559,22.6,2025-12-19,143.7363,TIEMPO,15,-47.4,-0.4
BA,Energía / Industria,2025-12-03,204.6,192.921,227.9579,11.3406,2025-12-24,218.16,TIEMPO,15,146.59,1.11
PBR,Latam / Brasil,2025-12-09,11.5974,10.9793,12.8337,211.3112,2025-12-26,10.9793,STOP,12,-137.77,-1.05
PEP,Consumo,2025-12-30,139.7169,135.5639,148.023,23.4556,2026-01-05,135.5639,STOP,3,-107.1,-1.1
BABA,China,2026-01-05,154.3574,145.6522,171.7678,14.8712,2026-01-07,145.6522,STOP,2,-136.15,-1.05
NVDA,Tecnología,2025-12-16,175.8485,163.233,201.0795,10.1949,2026-01-08,184.608,TIEMPO,15,83.79,0.65
AVGO,Tecnología,2025-12-17,344.0519,308.4758,415.2041,3.614,2026-01-09,343.0792,TIEMPO,15,-7.24,-0.06
VIST,Latam / Brasil,2025-12-19,46.81,42.7685,54.893,32.1047,2026-01-13,49.95,TIEMPO,15,96.15,0.74
MSFT,Tecnología,2026-01-08,478.2062,462.3647,509.8892,6.6245,2026-01-14,462.3647,STOP,4,-114.29,-1.09
AAPL,Tecnología,2026-01-12,258.4565,249.6692,276.0311,6.6488,2026-01-20,249.6692,STOP,5,-63.49,-1.09
PEP,Consumo,2026-01-09,135.3207,131.1437,143.6746,23.5772,2026-01-27,143.6746,OBJETIVO,11,187.1,1.9
MCD,Consumo,2026-01-08,297.6062,289.0221,314.7743,10.6446,2026-01-30,308.944,TIEMPO,15,111.0,1.21
CSCO,Tecnología,2026-01-14,74.2484,71.7362,79.2728,43.5663,2026-02-02,79.2728,OBJETIVO,12,208.86,1.91
AVGO,Tecnología,2026-01-27,327.9525,301.7759,380.3057,4.9989,2026-02-04,301.7759,STOP,6,-135.58,-1.04
TSLA,Tecnología,2026-02-02,421.29,390.2589,483.3522,4.2661,2026-02-05,390.2589,STOP,3,-137.57,-1.04
BAC,Financieras,2026-01-16,51.8584,49.6851,56.2051,27.3411,2026-02-09,55.5197,TIEMPO,15,95.7,1.61
JPM,Financieras,2026-01-20,303.2846,289.9167,330.0204,5.457,2026-02-10,315.2393,TIEMPO,15,60.17,0.82
NU,Latam / Brasil,2026-02-25,16.515,15.1637,19.2176,96.7871,2026-02-26,15.1637,STOP,1,-135.39,-1.04
LLY,Salud,2026-02-05,1060.3771,985.9563,1209.2188,1.7463,2026-02-27,1048.6794,TIEMPO,15,-25.95,-0.2
AVGO,Tecnología,2026-02-06,318.3455,288.2506,378.5352,4.3494,2026-03-02,317.0725,TIEMPO,15,-9.68,-0.07
BAC,Financieras,2026-02-26,51.0612,48.2606,56.6625,45.891,2026-03-02,48.0101,STOP (gap),2,-146.84,-1.14
NU,Latam / Brasil,2026-02-26,15.92,14.6174,18.5253,98.6643,2026-03-02,14.46,STOP (gap),2,-148.55,-1.16
AMD,Tecnología,2026-02-09,206.9,178.5534,263.5933,4.6425,2026-03-03,190.95,TIEMPO,15,-76.82,-0.58
BA,Energía / Industria,2026-03-03,225.75,212.773,251.7041,9.6566,2026-03-12,212.21,STOP (gap),7,-137.09,-1.09
BRK-B,Financieras,2026-03-06,499.25,480.6604,536.4293,6.2665,2026-03-19,480.6604,STOP,9,-125.7,-1.08
TSLA,Tecnología,2026-03-05,401.57,372.1404,460.4293,4.2483,2026-03-20,372.1404,STOP,11,-129.96,-1.04
NU,Latam / Brasil,2026-03-03,14.68,13.2257,17.5886,86.1671,2026-03-24,14.19,TIEMPO,15,-45.95,-0.37
AMD,Tecnología,2026-03-05,197.77,175.8655,241.579,5.7078,2026-03-26,203.77,TIEMPO,15,30.81,0.25
GOOGL,Tecnología,2026-03-26,287.5533,272.4618,317.7364,8.069,2026-03-30,272.4618,STOP,2,-128.55,-1.06
C,Financieras,2026-03-12,105.3238,97.0083,121.9547,14.7294,2026-04-02,114.1271,TIEMPO,15,124.82,1.02
GOOGL,Tecnología,2026-04-01,290.4797,274.2421,322.9548,7.6001,2026-04-14,324.3876,OBJETIVO (gap),8,250.69,2.03
LLY,Salud,2026-03-24,904.1457,845.3498,1021.7377,2.0817,2026-04-15,902.182,TIEMPO,15,-9.73,-0.08
PEP,Consumo,2026-03-24,147.3099,141.0831,159.7635,19.6565,2026-04-15,151.6181,TIEMPO,15,75.87,0.62
KO,Consumo,2026-03-24,73.9386,71.4662,78.8834,41.3849,2026-04-15,74.383,TIEMPO,15,9.19,0.09
AAPL,Tecnología,2026-04-02,253.7472,242.5413,276.1589,8.1037,2026-04-24,270.5771,TIEMPO,15,130.01,1.43
LLY,Salud,2026-04-20,923.9832,868.2007,1035.5481,2.2469,2026-04-27,868.2007,STOP,5,-131.38,-1.05
CVX,Energía / Industria,2026-04-14,185.2714,173.9892,207.8356,11.1408,2026-05-05,189.2401,TIEMPO,15,37.96,0.3
MRK,Salud,2026-04-23,111.9,105.9974,123.7052,21.2795,2026-05-14,111.9395,TIEMPO,15,-6.3,-0.05
JNJ,Salud,2026-04-29,223.13,213.975,241.4399,13.5736,2026-05-20,226.8897,TIEMPO,15,41.87,0.34
PEP,Consumo,2026-05-13,147.5449,140.9563,160.7221,17.863,2026-05-29,140.9563,STOP,11,-125.42,-1.07
CVX,Energía / Industria,2026-05-12,183.2084,173.4362,202.7529,12.7263,2026-06-03,188.0687,TIEMPO,15,54.77,0.44
XOM,Energía / Industria,2026-05-12,149.2638,140.368,167.0554,13.9801,2026-06-03,151.5487,TIEMPO,15,25.63,0.21
AMZN,Tecnología,2026-06-05,254.26,240.3317,282.1165,9.0958,2026-06-10,240.3317,STOP,3,-133.44,-1.05
PFE,Salud,2026-05-20,25.3171,24.2913,27.3687,123.3109,2026-06-11,25.7201,TIEMPO,15,40.25,0.32
C,Financieras,2026-05-21,123.4026,116.6904,136.8269,18.8286,2026-06-11,136.8269,OBJETIVO,14,245.41,1.94
PBR,Latam / Brasil,2026-06-10,17.3219,16.3607,19.2445,127.8697,2026-06-17,16.3607,STOP,5,-129.38,-1.05
WMT,Consumo,2026-05-29,117.8279,111.7128,130.0581,20.2206,2026-06-22,116.9001,TIEMPO,15,-25.88,-0.21
GOOGL,Tecnología,2026-06-05,365.8861,345.5394,406.5795,6.2265,2026-06-22,345.5394,STOP,10,-133.33,-1.05
AMZN,Tecnología,2026-06-12,243.21,228.6517,272.3267,8.7251,2026-06-25,228.6517,STOP,8,-133.2,-1.05
CVX,Energía / Industria,2026-06-23,174.2592,165.4961,191.7855,13.8518,2026-06-30,165.4961,STOP,5,-128.44,-1.06
VIST,Latam / Brasil,2026-06-22,69.16,62.9348,81.6105,19.6209,2026-07-01,62.9348,STOP,7,-126.03,-1.03
VALE,Latam / Brasil,2026-06-12,15.1478,14.2554,16.9326,142.3374,2026-07-07,14.2554,STOP,15,-133.3,-1.05
XOM,Energía / Industria,2026-06-17,140.3115,131.7852,157.364,14.5569,2026-07-10,137.9865,TIEMPO,15,-39.92,-0.32
PBR,Latam / Brasil,2026-07-06,15.7092,14.8415,17.4448,136.885,2026-07-14,17.5551,OBJETIVO (gap),6,245.84,2.07
AMZN,Tecnología,2026-06-25,232.02,216.2255,263.6089,7.5628,2026-07-17,247.23,TIEMPO,15,109.59,0.92
NVDA,Tecnología,2026-06-30,197.0195,182.5898,225.8791,8.2238,2026-07-22,211.823,TIEMPO,15,116.7,0.98
VIST,Latam / Brasil,2026-07-07,61.56,55.9763,72.7275,21.4538,2026-07-28,64.29,TIEMPO,15,54.52,0.46
INTC,Tecnología,2026-07-22,101.55,83.562,137.5259,6.8855,2026-07-28,83.562,STOP,4,-125.77,-1.02
CAT,Energía / Industria,2026-07-20,890.0,804.8923,1060.2153,1.4266,2026-07-29,804.8923,STOP,7,-125.04,-1.03
QCOM,Tecnología,2026-07-20,174.5997,150.9033,221.9926,5.1239,2026-07-30,145.7567,STOP (gap),8,-150.25,-1.24
GOOGL,Tecnología,2026-07-28,327.6894,304.1939,374.6802,5.1256,2026-08-03,374.6802,OBJETIVO,4,235.46,1.96
VALE,Latam / Brasil,2026-07-15,14.2436,13.4322,15.8664,152.8094,2026-08-05,14.5256,TIEMPO,15,36.49,0.29
NVDA,Tecnología,2026-08-03,197.469,182.5383,227.3306,8.0832,2026-08-17,227.3306,OBJETIVO,10,236.23,1.96
CAT,Energía / Industria,2026-07-31,843.39,759.8695,1010.4311,1.4489,2026-08-21,827.9,TIEMPO,15,-26.08,-0.22
INTC,Tecnología,2026-07-31,96.72,79.3473,131.4653,6.9656,2026-08-21,90.07,TIEMPO,15,-48.27,-0.4
C,Financieras,2026-07-31,132.8744,125.2267,148.17,15.823,2026-08-21,131.65,TIEMPO,15,-25.65,-0.21
AVGO,Tecnología,2026-08-24,364.3066,333.8028,425.3142,4.0354,2026-09-15,338.6533,TIEMPO,15,-107.78,-0.88
C,Financieras,2026-08-24,131.39,124.8839,144.4022,18.9198,2026-09-15,136.17,TIEMPO,15,82.84,0.67
INTC,Tecnología,2026-08-28,90.27,78.6553,113.4994,10.6309,2026-09-21,116.53,OBJETIVO (gap),15,275.87,2.23
BAC,Financieras,2026-09-16,59.27,56.708,64.3939,48.3329,2026-09-22,56.708,STOP,4,-132.24,-1.07
CAT,Energía / Industria,2026-09-03,796.9,739.6042,911.4918,2.1665,2026-09-24,796.34,FIN BACKTEST,13,-6.39,-0.05
LLY,Salud,2026-09-10,1126.08,1057.46,1263.3199,1.8277,2026-09-24,1192.02,FIN BACKTEST,9,114.16,0.91
AMZN,Tecnología,2026-09-18,252.92,240.5716,277.6167,10.0976,2026-09-24,246.531,FIN BACKTEST,4,-72.08,-0.58
BAC,Financieras,2026-09-22,58.1,55.5847,63.1306,49.9057,2026-09-24,55.955,FIN BACKTEST,2,-115.59,-0.92
PYPL,Tecnología,2026-09-23,52.79,49.4652,59.4396,37.1478,2026-09-24,52.265,FIN BACKTEST,1,-25.36,-0.21
